date,GDP,Hours_worked,Real_wage_growth,GDP_Deflator_Inflation,Core_PCE_Inflation,short_term_interest,Consumption_growth,Investment_growth,Spread,expected_inflation,long_term_interest,tfp,GDI
1995-03-31,0.7525853267281946,-152.76795079706363,0.04654511833906416,0.5417041425694435,0.5231864857583091,1.45,0.05516157615463868,2.036270646135563,0.3500000000000001,1.4613016166666664,1.87,-1.152946459814173,0.8119122469794959
1995-06-30,0.5684270984182227,-153.73640817286537,0.34341964118922985,0.47889720193765584,0.5914898184240514,1.505,0.7637293310358118,-0.3865500312739911,0.4025000000000001,1.5589379083333332,1.655,-0.6048227225787722,0.8528892462867699
1995-09-30,1.0808003086276052,-153.45737388251587,0.04954001048119716,0.4915189434028022,0.4755890573141741,1.45,0.562010349380504,0.9445002405318093,0.4325000000000001,1.5982255833333334,1.58,0.01910805617772129,1.4591740578905554
1995-12-31,0.8838960588273714,-153.50167619691902,0.324904929889247,0.48021620201534887,0.5006052229068025,1.43,0.3798677479877277,1.1461608191238426,0.4375,1.6313601166666665,1.4725,-0.32036055452886175,0.8564584644845219
1996-03-31,1.0135820164786313,-154.0429176638154,0.5975362513555849,0.47939723388079614,0.39239885943898045,1.3425,0.7787686931592042,1.6921090990129173,0.44999999999999996,1.6478704999999998,1.4775,0.38255015027831485,1.37644758509734
1996-06-30,1.8160103392554472,-153.12345625658986,0.5179778049260564,0.41392067935701604,0.4734074148725398,1.31,1.0716708986471701,2.214207424364645,0.39500000000000024,1.5742257333333334,1.68,0.7594457738341329,1.6105048990474824
1996-09-30,0.9348988776462175,-152.37698320855614,0.4338245530067397,0.32727008422144266,0.4556010520757603,1.3275,0.41710381836850274,1.9076363768562032,0.3774999999999997,1.5636652249999998,1.695,0.019554682181691402,0.9568061500089264
1996-12-31,1.2645170576156328,-152.19100987008756,0.04251656050477948,0.5319083749214748,0.5676538160817479,1.32,0.6399218292719944,0.7087426216200399,0.395,1.5874309749999997,1.585,-0.08769732722582849,1.4596554264731498
1997-03-31,0.7728881969931933,-152.14420205348054,0.5413398787387114,0.5957588094621435,0.3920829660826186,1.32,0.42822815940137815,0.8073631569406103,0.37750000000000017,1.5716847583333333,1.64,-0.8751071661507294,1.2238648486393
1997-06-30,1.633579384249506,-151.41591065849133,0.7122063548625657,0.1982821030712678,0.5203973469884104,1.38,0.28386100534483205,1.5473922929816197,0.37249999999999983,1.5553687166666665,1.675,1.0315488283889136,1.2678022977521852
1997-09-30,1.4142842534293543,-150.9178971400829,0.5601677931696747,0.4357053911413722,0.23274136506863385,1.3825,1.257098431475523,2.9294364254495164,0.3799999999999999,1.5911337916666666,1.56,0.8046016648013035,1.771656398629684
1997-12-31,0.9040254733570396,-150.77139419111356,1.45996793185858,0.33199464235051934,0.31688258785518286,1.3775,0.8905302009114102,0.0011606216409276726,0.38250000000000006,1.6089275333333335,1.4775,-0.0027949291167196225,1.4014265856319152
1998-03-31,0.9154800927716256,-151.073344326717,1.529981628854865,0.1419467006327224,0.2937470070262016,1.38,0.646377229134032,2.17514532774441,0.41500000000000004,1.6390646416666668,1.3975,0.5504528211941556,0.8926428996115288
1998-06-30,0.9082184038859076,-151.24876081538628,1.0229460132296586,0.23613099778474478,0.30530156678976184,1.375,1.4413446894956827,2.651194552662872,0.4125000000000001,1.6391981583333335,1.4,0.030343230018501827,1.4466163977387758
1998-09-30,1.3921114372342114,-151.29530988337544,1.1767232207637035,0.42221238922790505,0.3552401604368427,1.3825,0.8999468397147048,1.134347220040155,0.48249999999999993,1.65577875,1.3,0.8111882176173456,1.5184209427132167
1998-12-31,1.5789501986739118,-150.7535927154357,0.2797827666680991,0.2814340772215651,0.3183667196694273,1.215,1.1144328851961482,2.206992720560308,0.645,1.7418460416666668,1.1675,-0.34281077410162974,0.9349200831210158
1999-03-31,0.881582520902624,-150.93127366350413,1.4280898677072633,0.32451227684582307,0.2504123531594793,1.1825,0.5155208677487977,1.1650065052105418,0.605,1.7043457000000002,1.245,1.4918917552407163,1.333764256587422
1999-06-30,0.9411268264404082,-151.2864042556067,0.037172984281355625,0.3770365475047832,0.34653094788001937,1.1875,1.4401689416751573,1.7863466274206985,0.55,1.6662241416666665,1.385,-1.1671441579492177,0.5903905776006191
1999-09-30,1.3753203515962653,-151.02300457284133,0.5185791070536905,0.353150934390456,0.3670477204037681,1.275,1.0187002245371168,1.5336811744845136,0.5549999999999999,1.6207373083333332,1.47,0.01827474734087795,1.034474814868247
1999-12-31,1.8849119199224162,-150.7929818857039,1.4325125211974654,0.5532420708039609,0.46975454774624836,1.325,1.2086195897542673,-0.008714113068286622,0.5250000000000001,1.5913555166666669,1.535,0.7818802984102788,1.7087681805052934
2000-03-31,-0.3674260629216608,-150.45491271287773,2.805443021132217,0.6626505113035641,0.5226586605636463,1.42,0.25591998911584923,1.3967425478798035,0.4624999999999999,1.5596701416666665,1.62,-0.04753049035373863,1.2401121032083573
2000-06-30,2.11566747044567,-150.8157975231553,-0.3774188505045878,0.621064164764551,0.3473739234343576,1.5675,0.47524012090622847,1.6639675341487248,0.6025,1.5686088083333334,1.545,0.8391084438511451,0.9749103427492578
2000-09-30,0.3666013734616502,-151.3184476893863,1.3419145130589145,0.5829637584435332,0.4821732473306639,1.63,0.6963085291535442,-0.029126198838724804,0.6075000000000002,1.6162759916666665,1.4725,-0.8720180036077974,1.1769501723806197
2000-12-31,0.8324890398229368,-151.73237409646413,0.03298856539085682,0.5373232963207464,0.4931192745311286,1.6175,0.5974720266290312,-0.33249710391967113,0.6600000000000001,1.6423889916666665,1.3925,0.10093750651667158,0.2602443633519691
2001-03-31,0.07692085067860788,-151.70689855114372,1.5542848183792506,0.6591533729297439,0.6489023846675046,1.4,0.19034815551233208,-1.4561896755470372,0.7075,1.7258421416666665,1.2625,-1.4172657091193672,1.431037166673832
2001-06-30,0.9262069012707208,-152.7595972642151,-0.1798424090090428,0.599645252045633,0.3773564575451971,1.0825,-0.22758264993338884,-1.7672296747658578,0.6924999999999999,1.6844304,1.3175,0.1892419218661919,0.19596905825545186
